"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)",295485,293159,295067,297575,302725,308555,313955,309896,291690,290655,297413,300036,303347,303571,310802,318274,326638,335261,341472
"16940","Cheyenne, WY (Metropolitan Statistical Area)",52757,54629,55774,56596,57722,58704,61107,62254,61625,61441,62826,63565,65591,66331,67107,67590,68805,70779,72107
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",5450274,5386960,5387028,5446229,5528261,5627599,5733881,5715056,5515227,5470609,5581826,5643024,5730430,5831728,5963729,6038256,6070690,6135579,6216332
"17020","Chico, CA (Metropolitan Statistical Area)",99172,101094,100790,101812,103948,105268,106781,103874,99078,97799,97756,100633,104335,107441,110044,112491,114456,114472,113221
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1235548,1226574,1233732,1249101,1266491,1276660,1291887,1287371,1246446,1236429,1251397,1262590,1276941,1298614,1322762,1345206,1367610,1392046,1414594
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)",125242,126533,127599,131322,138270,141076,143438,143785,141667,143636,147219,147359,147236,148713,151142,150762,154616,157413,160846
"17420","Cleveland, TN (Metropolitan Statistical Area)",53704,53647,54086,55465,55733,56345,56070,55208,53667,53265,54831,56876,60379,62276,61954,62658,62343,62640,64896
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)",1322201,1294109,1291744,1296299,1299430,1309383,1316266,1302283,1251077,1243015,1260014,1277714,1290652,1299826,1313549,1324036,1329748,1348640,1366976
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)",61217,62919,64164,68866,73502,77152,80534,80340,76284,75121,75818,75139,77725,80329,82699,85074,88040,91417,94185
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)",107288,108148,109810,111780,115746,119940,120087,123029,127108,128073,128362,131867,137253,141744,146060,149648,152723,158548,162558
"17820","Colorado Springs, CO (Metropolitan Statistical Area)",349511,347088,347795,353744,365026,371136,378789,378125,371574,372146,378167,379506,386396,394852,404632,413144,425718,436707,447972
"17860","Columbia, MO (Metropolitan Statistical Area)",114547,115747,116248,118996,122431,124978,126699,126583,124038,125030,128180,131554,134754,136034,138311,139904,142217,143658,144993
"17900","Columbia, SC (Metropolitan Statistical Area)",416234,415110,418233,424587,433120,446637,459367,459041,443153,438955,446229,453369,463133,473864,489446,498398,504367,511034,517807
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",166770,164750,163793,165954,168743,171426,171822,175500,175492,177570,182910,183610,184172,182964,182260,178487,179684,182286,186138
"18020","Columbus, IN (Metropolitan Statistical Area)",50295,49158,48777,50421,51636,52453,53859,54442,50963,50843,54100,57396,57346,59040,60064,60667,61237,61956,62220
"18140","Columbus, OH (Metropolitan Statistical Area)",1142117,1136086,1137227,1151480,1166767,1181275,1205643,1204031,1174285,1173163,1200586,1228248,1256858,1285655,1314371,1343683,1369775,1395186,1418008
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",209256,210084,212756,213608,217363,221335,228301,233317,229560,228466,231628,238395,243432,248375,248922,246526,251234,253651,255282
"18700","Corvallis, OR (Metropolitan Statistical Area)",48298,45836,45891,47624,48107,48815,48386,48213,47494,47457,48590,48486,48185,49282,50429,50752,52200,52756,53199
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",123262,128008,134491,145298,150544,155241,155616,150985,146856,144422,148422,151356,155637,158392,163188,168021,173517,178972,184130
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",47090,46958,46793,47694,48486,48721,48389,48378,48072,48285,48584,48372,48052,47977,48361,47927,47360,47450,47591
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",3463068,3424897,3432695,3499362,3621905,3766949,3913910,3993545,3914429,3929790,4068890,4191061,4318879,4464293,4634221,4794719,4930171,5085031,5226844
"19140","Dalton, GA (Metropolitan Statistical Area)",85876,86500,86673,88308,89189,90340,89950,84979,77658,76810,77683,76671,76813,80170,81980,81930,79928,81600,80515
"19180","Danville, IL (Metropolitan Statistical Area)",40683,40062,40636,40029,40190,39863,39718,39183,37825,37284,38010,38165,37345,37667,37770,36640,36004,35462,35539
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",70661,71892,73844,77691,82612,87768,92728,92684,89324,89246,92000,93226,96469,99807,103917,107822,111703,115748,119535
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",228307,224701,223492,226886,231269,231766,233972,234372,225854,223989,227447,228828,228832,230123,229912,228285,229946,230160,231801
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)",497721,488980,484370,484036,482766,481807,481030,471122,450129,447825,454622,457498,457954,463441,470131,474546,481907,487291,492689
"19460","Decatur, AL (Metropolitan Statistical Area)",75846,73525,72553,74234,74947,75300,77096,76549,72444,71651,73429,73498,73771,73321,72990,73264,73963,75691,78044
"19500","Decatur, IL (Metropolitan Statistical Area)",68070,65473,64829,65063,65139,65741,66941,66551,64187,63818,65204,64625,63050,63088,63016,62588,62154,62249,61206
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",214468,220863,229419,239566,253529,263121,265560,256904,244590,241576,245674,249416,254046,261476,269031,278033,287052,296288,300524
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",1518724,1521825,1510967,1533283,1571107,1607028,1664565,1683596,1643661,1637488,1672982,1715507,1776516,1843962,1917066,1981619,2030022,2087752,2142948
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",380712,379700,381332,391738,399647,410353,421384,424043,419245,417404,423430,431268,441164,451435,459052,470026,477197,484420,491471
