CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona,12,17200
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Ormond Beach,12,53150
19740,"Denver-Aurora-Lakewood, CO",Aurora,8,4000
19740,"Denver-Aurora-Lakewood, CO",Broomfield,8,9280
19740,"Denver-Aurora-Lakewood, CO",Centennial,8,12815
19740,"Denver-Aurora-Lakewood, CO",Commerce City,8,16495
19740,"Denver-Aurora-Lakewood, CO",Denver,8,20000
19740,"Denver-Aurora-Lakewood, CO",Lakewood,8,43000
19780,"Des Moines-West Des Moines, IA",Des Moines,19,21000
19780,"Des Moines-West Des Moines, IA",West Des Moines,19,83910
19820,"Detroit-Warren-Dearborn, MI",Dearborn,26,21000
19820,"Detroit-Warren-Dearborn, MI",Detroit,26,22000
19820,"Detroit-Warren-Dearborn, MI",Farmington Hills,26,27440
19820,"Detroit-Warren-Dearborn, MI",Livonia,26,49000
19820,"Detroit-Warren-Dearborn, MI",Novi,26,59440
19820,"Detroit-Warren-Dearborn, MI",Pontiac,26,65440
19820,"Detroit-Warren-Dearborn, MI",Southfield,26,74900
19820,"Detroit-Warren-Dearborn, MI",Taylor,26,79000
19820,"Detroit-Warren-Dearborn, MI",Troy,26,80700
19820,"Detroit-Warren-Dearborn, MI",Warren,26,84000
20020,"Dothan, AL",Dothan,1,21184
20100,"Dover, DE",Dover,10,21200
20220,"Dubuque, IA",Dubuque,19,22395
20260,"Duluth, MN-WI",Duluth,27,17000
20500,"Durham-Chapel Hill, NC",Chapel Hill,37,11800
20500,"Durham-Chapel Hill, NC",Durham,37,19000
20700,"East Stroudsburg, PA",East Stroudsburg,42,21872
20740,"Eau Claire, WI",Eau Claire,55,22300
20940,"El Centro, CA",El Centro,6,21782
21060,"Elizabethtown-Fort Knox, KY",Elizabethtown,21,24274
21060,"Elizabethtown-Fort Knox, KY",Fort Knox,21,28540
21140,"Elkhart-Goshen, IN",Elkhart,18,20728
21140,"Elkhart-Goshen, IN",Goshen,18,28386
21300,"Elmira, NY",Elmira,36,24229
21340,"El Paso, TX",El Paso,48,24000
21420,"Enid, OK",Enid,40,23950
21500,"Erie, PA",Erie,42,24000
21660,"Eugene-Springfield, OR",Eugene,41,23850
21660,"Eugene-Springfield, OR",Springfield,41,69600
21780,"Evansville, IN-KY",Evansville,18,22000
21820,"Fairbanks, AK",Fairbanks,2,24230
22020,"Fargo, ND-MN",Fargo,38,25700
22140,"Farmington, NM",Farmington,35,25800
22180,"Fayetteville, NC",Fayetteville,37,22920
22220,"Fayetteville-Springdale-Rogers, AR",Bentonville,5,5320
22220,"Fayetteville-Springdale-Rogers, AR",Fayetteville,5,23290
22220,"Fayetteville-Springdale-Rogers, AR",Rogers,5,60410
22220,"Fayetteville-Springdale-Rogers, AR",Springdale,5,66080
22380,"Flagstaff, AZ",Flagstaff,4,23620
22420,"Flint, MI",Flint,26,29000
22500,"Florence, SC",Florence,45,25810
22520,"Florence-Muscle Shoals, AL",Florence,1,26896
22520,"Florence-Muscle Shoals, AL",Muscle Shoals,1,53016
22540,"Fond du Lac, WI",Fond du Lac,55,26275
22660,"Fort Collins, CO",Fort Collins,8,27425
22900,"Fort Smith, AR-OK",Fort Smith,5,24550
23060,"Fort Wayne, IN",Fort Wayne,18,25000
23420,"Fresno, CA",Fresno,6,27000
23460,"Gadsden, AL",Gadsden,1,28696
23540,"Gainesville, FL",Gainesville,12,25175
23580,"Gainesville, GA",Gainesville,13,31908
23900,"Gettysburg, PA",Gettysburg,42,28960
24020,"Glens Falls, NY",Glens Falls,36,29333
24140,"Goldsboro, NC",Goldsboro,37,26880
24220,"Grand Forks, ND-MN",Grand Forks,38,32060
24260,"Grand Island, NE",Grand Island,31,19595
24300,"Grand Junction, CO",Grand Junction,8,31660
24340,"Grand Rapids-Kentwood, MI",Grand Rapids,26,34000
24340,"Grand Rapids-Kentwood, MI",Kentwood,26,42820
24420,"Grants Pass, OR",Grants Pass,41,30550
24500,"Great Falls, MT",Great Falls,30,32800
24540,"Greeley, CO",Greeley,8,32155
24580,"Green Bay, WI",Green Bay,55,31000
24660,"Greensboro-High Point, NC",Greensboro,37,28000
24660,"Greensboro-High Point, NC",High Point,37,31400
24780,"Greenville, NC",Greenville,37,28080
24860,"Greenville-Anderson, SC",Anderson,45,1360
24860,"Greenville-Anderson, SC",Greenville,45,30850
25020,"Guayama, PR",Guayama,72,32221
25060,"Gulfport-Biloxi, MS",Biloxi,28,6220
25060,"Gulfport-Biloxi, MS",Gulfport,28,29700
25180,"Hagerstown-Martinsburg, MD-WV",Hagerstown,24,36075
25180,"Hagerstown-Martinsburg, MD-WV",Martinsburg,54,52060
25220,"Hammond, LA",Hammond,22,32755
25260,"Hanford-Corcoran, CA",Corcoran,6,16224
25260,"Hanford-Corcoran, CA",Hanford,6,31960
25420,"Harrisburg-Carlisle, PA",Carlisle,42,11272
25420,"Harrisburg-Carlisle, PA",Harrisburg,42,32800
25500,"Harrisonburg, VA",Harrisonburg,51,35624
25540,"Hartford-East Hartford-Middletown, CT",East Hartford,9,22700
25540,"Hartford-East Hartford-Middletown, CT",Hartford,9,37000
25540,"Hartford-East Hartford-Middletown, CT",Middletown,9,47290
25620,"Hattiesburg, MS",Hattiesburg,28,31020
25860,"Hickory-Lenoir-Morganton, NC",Hickory,37,31060
25860,"Hickory-Lenoir-Morganton, NC",Lenoir,37,37760
25860,"Hickory-Lenoir-Morganton, NC",Morganton,37,44400
25940,"Hilton Head Island-Bluffton, SC",Bluffton,45,7210
25940,"Hilton Head Island-Bluffton, SC",Hilton Head Island,45,34045
25980,"Hinesville, GA",Hinesville,13,38964
26140,"Homosassa Springs, FL",Homosassa Springs,12,32400
26300,"Hot Springs, AR",Hot Springs,5,33400
26380,"Houma-Thibodaux, LA",Houma,22,36255
26380,"Houma-Thibodaux, LA",Thibodaux,22,75425
26420,"Houston-The Woodlands-Sugar Land, TX",Baytown,48,6128
26420,"Houston-The Woodlands-Sugar Land, TX",Conroe,48,16432
