CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
14100,,,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,85562,85555,85657,85449,85472,85592,85538,84980,84390,83851,83455,83194,102,-208,23,120,-54,-558,-590,-539,-396,-261,238,844,824,846,842,833,792,749,752,726,182,881,899,870,907,957,928,959,941,951,-10,-1,-20,-5,-19,-4,1,-2,-2,-6
14260,,,"Boise City, ID",Metropolitan Statistical Area,616561,616566,617866,627670,637425,649224,662624,674640,691285,709682,728911,749202,1300,9804,9755,11799,13400,12016,16645,18397,19229,20291,2205,8644,8417,8520,8476,8748,8628,8466,8386,8479,810,4120,4115,4353,4342,4617,4838,4962,5015,4957,-42,15,66,82,159,19,46,63,67,85
14460,,,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,4552402,4552595,4566348,4609790,4656593,4702877,4746931,4778340,4809061,4841772,4859536,4873019,13753,43442,46803,46284,44054,31409,30721,32711,17764,13483,13282,52009,51155,51825,51576,51914,51435,51065,50790,50726,7983,34807,33638,34915,35254,37277,36398,37614,37981,38298,-239,-123,-718,-707,-775,-409,-111,-115,-54,-84
14500,,,"Boulder, CO",Metropolitan Statistical Area,294567,294560,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196,477,4920,4613,4753,2910,5794,3223,1191,2195,1560,765,2995,2962,2958,2937,2865,2824,2649,2634,2609,346,1507,1579,1667,1706,1793,1817,1793,1883,1935,-5,11,27,30,-52,40,-3,-7,-8,-10
14540,,,"Bowling Green, KY",Metropolitan Statistical Area,158599,158613,159341,160985,162450,164653,166630,169507,171902,174981,176864,179240,728,1644,1465,2203,1977,2877,2395,3079,1883,2376,499,1939,1955,2074,2061,2171,2189,2222,2228,2228,213,1402,1393,1465,1399,1494,1534,1647,1539,1531,20,-1,-13,1,-7,14,-1,5,-4,2
14740,,,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,251133,251143,251681,254297,254339,252401,253387,259232,263142,266289,269276,271473,538,2616,42,-1938,986,5845,3910,3147,2987,2197,765,2961,3027,2876,2933,3039,3103,3076,3046,3023,506,2030,1919,2015,2085,2154,2167,2257,2285,2375,-19,5,2,61,-53,61,7,6,4,5
14860,,,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,916829,916904,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332,2451,8645,7099,4825,4272,747,-596,-1309,933,-639,2721,10408,10202,10053,10090,10186,10076,9980,9628,9603,1505,6452,6306,6620,6530,6763,6757,6893,6955,6960,-52,-32,-91,-104,13,40,29,55,42,61
15180,,,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,406220,406215,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163,1415,5571,2676,1480,1648,445,1900,877,-88,1024,1818,7816,7360,7370,7361,7250,7075,6644,6246,6202,598,2328,2369,2461,2604,2661,2668,2652,2790,2788,-35,-17,35,52,41,35,1,11,6,6
15260,,,"Brunswick, GA",Metropolitan Statistical Area,112370,112385,112534,112895,113281,113781,114607,115779,116571,117587,118282,118779,149,361,386,500,826,1172,792,1016,695,497,337,1347,1271,1370,1312,1310,1301,1281,1288,1248,248,1081,1018,1143,1103,1172,1194,1201,1291,1280,-4,-5,15,-1,-9,3,-2,0,-3,-1
15380,,,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,1135509,1135614,1135627,1135562,1134619,1134974,1135060,1133002,1130232,1129882,1129777,1127983,13,-65,-943,355,86,-2058,-2770,-350,-105,-1794,3095,11938,11981,12227,12173,12584,12245,11851,11968,11823,2847,12118,11681,12179,12032,12345,12169,12307,12064,12147,-112,-36,-122,-148,-153,-49,-20,-39,-30,-26
