NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Columbia, MO",0.3,1.6,1.3,1.1,0.8,0.8,0.9,0.8,0.5,0.7
"Columbia, SC",0.3,0.8,0.9,1.0,1.0,1.3,1.0,0.9,0.8,0.8
"Columbus, GA-AL",0.3,1.8,2.3,1.6,-0.8,-0.8,-1.2,-1.0,0.7,0.9
"Columbus, IN",0.0,1.0,1.7,0.8,1.0,1.2,0.9,-0.0,0.6,1.3
"Columbus, OH",0.2,1.0,1.1,1.4,1.4,1.3,1.2,1.5,1.0,0.9
"Corpus Christi, TX",-0.1,0.7,1.3,1.4,1.0,1.0,0.3,-0.1,0.1,0.1
"Corvallis, OR",-0.0,0.8,0.5,-0.6,1.2,1.3,1.8,2.0,0.7,0.7
"Crestview-Fort Walton Beach-Destin, FL",0.0,1.2,3.3,2.0,1.5,1.9,1.8,2.2,2.2,2.5
"Cumberland, MD-WV",-0.1,-0.5,-0.8,-0.6,-0.7,-0.7,-0.5,-0.9,-0.7,-0.6
"Dallas-Fort Worth-Arlington, TX",0.4,1.8,2.0,1.6,2.0,2.2,2.1,1.9,1.6,1.5
"Dalton, GA",0.0,0.0,-0.0,-0.2,0.3,0.6,0.5,0.2,0.1,0.4
"Danville, IL",0.0,-0.3,-0.7,-0.3,-1.0,-0.8,-0.9,-1.0,-1.3,-1.2
"Daphne-Fairhope-Foley, AL",0.5,1.8,1.9,2.4,2.2,1.9,2.2,2.3,2.4,2.4
"Davenport-Moline-Rock Island, IA-IL",0.0,0.2,0.5,0.4,0.1,-0.2,-0.3,-0.3,-0.3,-0.2
"Dayton-Kettering, OH",0.0,0.1,0.1,-0.0,-0.0,-0.1,0.2,0.2,0.2,0.3
"Decatur, AL",0.1,0.1,-0.1,-0.5,-0.2,-0.3,-0.1,-0.2,0.1,0.3
"Decatur, IL",0.0,-0.1,-0.5,-0.5,-1.0,-1.1,-0.9,-0.9,-0.9,-0.5
"Deltona-Daytona Beach-Ormond Beach, FL",0.0,0.2,0.5,0.9,1.4,2.0,2.3,1.9,1.6,1.5
"Denver-Aurora-Lakewood, CO",0.4,1.9,1.8,1.9,1.9,2.1,1.5,1.2,1.4,1.2
"Des Moines-West Des Moines, IA",0.4,1.5,1.4,1.7,1.8,1.5,1.7,1.5,1.4,1.2
"Detroit-Warren-Dearborn, MI",-0.1,0.0,0.2,0.1,0.1,-0.0,0.2,0.1,0.0,-0.1
"Dothan, AL",0.2,0.5,0.6,0.0,0.3,0.1,-0.1,0.1,0.3,0.7
"Dover, DE",0.4,1.3,1.3,1.0,1.4,1.0,0.8,1.1,1.1,1.2
"Dubuque, IA",0.3,0.7,0.6,0.8,0.6,0.4,-0.1,0.3,-0.1,0.4
"Duluth, MN-WI",-0.0,0.0,-0.1,0.0,0.0,-0.2,-0.1,-0.1,0.1,-0.2
"Durham-Chapel Hill, NC",0.4,1.1,1.6,1.5,1.5,1.4,1.7,1.2,1.9,1.1
"East Stroudsburg, PA",0.0,0.0,-0.7,-0.8,-0.0,-0.5,-0.2,1.0,0.8,0.6
"Eau Claire, WI",0.2,0.8,0.6,0.6,0.1,0.3,0.6,0.5,0.7,0.5
