,_id,CBSA,MSA,2024_Pop_ROC,2024_Unem_Rate,2024_Emp_ROC,2024_GDP_ROC,2024_Bus_ROC,2024_CPI,2024_AMW_ROC,2024_LP_ROC,Pop_Score,Unem_Score,Emp_Score,GDP_Score,Bus_Score,CPI_Score,AMW_Score,LP_Score,Total_Score,Overall_Rank
23,60413a1d2eee1da2ff615bef,12940,"Baton Rouge, LA",0.3377066362219904,1.7482485952667526,4.066011988078399,-0.006279211306888534,-8.121918422232183,265.9255038284625,6.935728197359879,-0.14682288307019126,169.0,383.0,256.0,33.0,26.0,177.0,140.0,131.0,1315.0,262.0
24,60413a1d2eee1da2ff615bf0,14860,"Bridgeport-Stamford-Norwalk, CT",0.017703205234212347,1.8482225450204672,3.2798661119992323,-0.03958510042313161,1.8929402637703645,289.63399347688846,9.63767094318342,-0.495629138155649,123.0,378.5,240.0,29.0,168.0,162.0,290.0,63.0,1453.5,212.0
25,60413a1d2eee1da2ff615bf1,16980,"Chicago-Naperville-Elgin, IL-IN-WI",-0.003436048632880829,3.3723140622535985,-0.013480618474045466,14.552808651894539,-0.49104563835932985,255.83376730001717,8.528691392582227,0.39972729470337715,74.0,117.5,68.0,229.0,123.0,192.0,227.0,283.0,1313.5,263.0
26,60413a1d2eee1da2ff615bf2,21140,"Elkhart-Goshen, IN",2.325277089865805,1.8872159851678005,0.13069074993064758,23.25999329593317,-4.980842911877394,255.83376730001717,10.837063563115489,-3.26301134708633,234.0,376.5,142.0,374.0,41.0,192.0,345.0,6.0,1710.5,126.0
27,60413a1d2eee1da2ff615bf3,21300,"Elmira, NY",0.011982361963190184,3.473502767837306,0.10084804033921614,7.781203749383325,1.729106628242075,289.63399347688846,7.824888700445198,-0.15053977404895905,115.0,104.0,139.0,98.0,164.0,162.0,187.0,130.0,1099.0,330.0
28,60413a1d2eee1da2ff615bf4,21340,"El Paso, TX",0.010188076633290844,2.9559421182029677,8.134589373449037,14.643202311372427,4.016620498614958,265.9255038284625,7.572911517548196,2.879315998304661,113.0,144.0,347.0,230.0,198.0,177.0,169.0,366.0,1744.0,110.0
29,60413a1d2eee1da2ff615bf5,21420,"Enid, OK",-0.19981656184486374,1.8872159851678005,-0.4596104000213772,-0.7884383544046641,-1.8604651162790697,265.9255038284625,0.09403612967087355,-0.25394849522556956,35.0,376.5,8.0,8.0,79.0,177.0,38.5,99.0,821.0,367.0
30,60413a1d2eee1da2ff615bf6,21500,"Erie, PA",-0.020390912326491872,2.6936829181196225,-0.015721589515586384,-0.17386544785182595,0.15444015444015444,289.63399347688846,7.220529646121397,0.17579374554337263,58.0,192.5,62.0,17.0,137.0,162.0,147.5,252.0,1028.0,339.5
31,60413a1d2eee1da2ff615bf7,24660,"Greensboro-High Point, NC",2.988141493630247,3.5397849329538538,-0.01994296722568654,10.617485085871433,-1.8768662021896771,265.9255038284625,7.304328815041538,0.03548382012904475,253.0,97.5,53.0,135.0,77.0,177.0,155.0,211.0,1158.5,317.0
32,60413a1d2eee1da2ff615bf8,25860,"Hickory-Lenoir-Morganton, NC",0.8547216609730303,2.2132183377296837,-0.07132173034442453,12.067575602341654,0.8240426563257393,265.9255038284625,8.683078393881454,-0.36689588073198415,188.0,330.5,28.0,162.0,147.0,177.0,236.0,80.0,1348.5,250.0
33,60413a1d2eee1da2ff615bf9,27980,"Kahului-Wailuku-Lahaina, HI",1.2226954251957687,2.368448946018618,6.825875546254694,13.85096114144482,15.243608297153882,299.7671195513341,0.12139303482587063,-0.8201904958526494,199.0,297.5,330.0,207.0,291.0,147.0,42.0,43.0,1556.5,175.0
34,60413a1d2eee1da2ff615bfa,30780,"Little Rock-North Little Rock-Conway, AR",0.8363596198193926,2.4674348113828106,3.2007668147235275,11.838163952795721,4.0856509968003945,265.9255038284625,8.58780276816609,-1.015972584466999,186.0,264.5,238.0,158.0,199.0,177.0,231.0,36.0,1489.5,198.0
35,60413a1d2eee1da2ff615bfb,34100,"Morristown, TN",2.237493782793575,3.9741886764841414,0.16110304789550073,14.897138848119642,-3.8095238095238098,265.9255038284625,8.514119820533123,3.164443375971933,228.0,72.0,148.0,241.0,52.0,177.0,226.0,370.0,1514.0,192.5
36,60413a1d2eee1da2ff615bfc,35100,"New Bern, NC",0.15850793344276012,4.0776559537372785,0.1462095182396374,8.809619288959938,14.336492890995261,265.9255038284625,7.998659816841636,-0.06566218836290484,157.0,69.5,145.0,112.0,285.0,177.0,196.5,151.0,1293.0,269.5
37,60413a1d2eee1da2ff615bfd,37900,"Peoria, IL",-2.007684222877414,3.4779470545410978,0.15567777822384593,0.28483878999028667,6.7438349270256674,255.83376730001717,3.297973100966092,-0.0634788434465866,6.0,102.0,147.0,57.0,228.0,192.0,101.0,153.0,986.0,350.0
38,60413a1d2eee1da2ff615bfe,40340,"Rochester, MN",3.721144010706513,2.077860765938109,3.7356358899622117,15.134198958132094,5.275974025974025,255.83376730001717,-0.06196616982080054,-0.21188288909559555,275.0,355.5,251.0,249.0,210.0,192.0,23.0,110.0,1665.5,140.0
39,60413a1d2eee1da2ff615bff,40660,"Rome, GA",0.025381226014741416,4.344385050807628,0.26027626466377884,11.296009742112185,5.240174672489083,265.9255038284625,0.15854511541151783,0.21536600298653857,126.0,61.5,166.0,146.0,209.0,177.0,47.0,264.0,1196.5,299.0
40,60413a1d2eee1da2ff615c00,40900,"Sacramento-Roseville-Folsom, CA",4.945277167866042,3.5741914573932503,6.253691326498094,19.775136626448216,15.328223925358214,299.7671195513341,7.275218359308101,-0.5554307647506682,310.0,94.0,311.0,347.0,292.0,147.0,152.0,60.0,1713.0,125.0
41,60413a1d2eee1da2ff615c01,41100,"St. George, UT",12.547027416702337,2.6291841496307686,13.628595568186183,26.869850711177236,-0.6416751097602161,299.7671195513341,9.98807251908397,-1.7547391662849374,381.0,210.5,382.0,382.0,117.0,147.0,311.0,16.0,1946.5,45.0
