,CBSA,year,Population,NAME
175,33460,2015,3503728,"Minneapolis-St. Paul-Bloomington, MN-WI"
176,33460,2016,3538527,"Minneapolis-St. Paul-Bloomington, MN-WI"
177,33460,2017,3575699,"Minneapolis-St. Paul-Bloomington, MN-WI"
178,33460,2018,3610061,"Minneapolis-St. Paul-Bloomington, MN-WI"
179,33460,2019,3640043,"Minneapolis-St. Paul-Bloomington, MN-WI"
180,40980,2010,199862,"Saginaw, MI"
181,40980,2011,198899,"Saginaw, MI"
182,40980,2012,198363,"Saginaw, MI"
183,40980,2013,196794,"Saginaw, MI"
184,40980,2014,195248,"Saginaw, MI"
185,40980,2015,193305,"Saginaw, MI"
186,40980,2016,192507,"Saginaw, MI"
187,40980,2017,191965,"Saginaw, MI"
188,40980,2018,190791,"Saginaw, MI"
189,40980,2019,190539,"Saginaw, MI"
190,41140,2010,127271,"St. Joseph, MO-KS"
191,41140,2011,127700,"St. Joseph, MO-KS"
192,41140,2012,127908,"St. Joseph, MO-KS"
193,41140,2013,127635,"St. Joseph, MO-KS"
194,41140,2014,127261,"St. Joseph, MO-KS"
195,41140,2015,126724,"St. Joseph, MO-KS"
196,41140,2016,126597,"St. Joseph, MO-KS"
197,41140,2017,126323,"St. Joseph, MO-KS"
198,41140,2018,125998,"St. Joseph, MO-KS"
199,41140,2019,125223,"St. Joseph, MO-KS"
200,42140,2010,144522,"Santa Fe, NM"
201,42140,2011,145847,"Santa Fe, NM"
202,42140,2012,146722,"Santa Fe, NM"
203,42140,2013,147465,"Santa Fe, NM"
204,42140,2014,147782,"Santa Fe, NM"
205,42140,2015,148098,"Santa Fe, NM"
206,42140,2016,148758,"Santa Fe, NM"
207,42140,2017,149491,"Santa Fe, NM"
208,42140,2018,149761,"Santa Fe, NM"
209,42140,2019,150358,"Santa Fe, NM"
210,43900,2010,284731,"Spartanburg, SC"
211,43900,2011,286102,"Spartanburg, SC"
212,43900,2012,288176,"Spartanburg, SC"
213,43900,2013,290414,"Spartanburg, SC"
214,43900,2014,292981,"Spartanburg, SC"
215,43900,2015,296558,"Spartanburg, SC"
216,43900,2016,300867,"Spartanburg, SC"
217,43900,2017,306740,"Spartanburg, SC"
218,43900,2018,314137,"Spartanburg, SC"
219,43900,2019,319785,"Spartanburg, SC"
220,45060,2010,663110,"Syracuse, NY"
221,45060,2011,662482,"Syracuse, NY"
222,45060,2012,660902,"Syracuse, NY"
223,45060,2013,661773,"Syracuse, NY"
224,45060,2014,660085,"Syracuse, NY"
225,45060,2015,657648,"Syracuse, NY"
226,45060,2016,654391,"Syracuse, NY"
227,45060,2017,651164,"Syracuse, NY"
228,45060,2018,650281,"Syracuse, NY"
229,45060,2019,648593,"Syracuse, NY"
230,48700,2010,116225,"Williamsport, PA"
231,48700,2011,116748,"Williamsport, PA"
232,48700,2012,117222,"Williamsport, PA"
233,48700,2013,116598,"Williamsport, PA"
234,48700,2014,116290,"Williamsport, PA"
235,48700,2015,115598,"Williamsport, PA"
236,48700,2016,114876,"Williamsport, PA"
237,48700,2017,114012,"Williamsport, PA"
238,48700,2018,113866,"Williamsport, PA"
239,48700,2019,113299,"Williamsport, PA"
240,10900,2010,821923,"Allentown-Bethlehem-Easton, PA-NJ"
241,10900,2011,824930,"Allentown-Bethlehem-Easton, PA-NJ"
242,10900,2012,826144,"Allentown-Bethlehem-Easton, PA-NJ"
243,10900,2013,825731,"Allentown-Bethlehem-Easton, PA-NJ"
244,10900,2014,828470,"Allentown-Bethlehem-Easton, PA-NJ"
245,10900,2015,830295,"Allentown-Bethlehem-Easton, PA-NJ"
246,10900,2016,833163,"Allentown-Bethlehem-Easton, PA-NJ"
247,10900,2017,837921,"Allentown-Bethlehem-Easton, PA-NJ"
248,10900,2018,842626,"Allentown-Bethlehem-Easton, PA-NJ"
249,10900,2019,844052,"Allentown-Bethlehem-Easton, PA-NJ"
250,12940,2010,827629,"Baton Rouge, LA"
251,12940,2011,831493,"Baton Rouge, LA"
252,12940,2012,836197,"Baton Rouge, LA"
