,CBSA,MSA
182,41620,"Salt Lake City, UT"
307,41660,"San Angelo, TX"
381,41700,"San Antonio-New Braunfels, TX"
132,41740,"San Diego-Chula Vista-Carlsbad, CA"
82,41860,"San Francisco-Oakland-Berkeley, CA"
63,41940,"San Jose-Sunnyvale-Santa Clara, CA"
46,42020,"San Luis Obispo-Paso Robles, CA"
382,42100,"Santa Cruz-Watsonville, CA"
21,42140,"Santa Fe, NM"
83,42200,"Santa Maria-Santa Barbara, CA"
328,42220,"Santa Rosa-Petaluma, CA"
228,42340,"Savannah, GA"
133,42540,"Scranton--Wilkes-Barre, PA"
47,42660,"Seattle-Tacoma-Bellevue, WA"
357,42680,"Sebastian-Vero Beach, FL"
134,42700,"Sebring-Avon Park, FL"
206,43100,"Sheboygan, WI"
207,43300,"Sherman-Denison, TX"
64,43340,"Shreveport-Bossier City, LA"
183,43420,"Sierra Vista-Douglas, AZ"
48,43580,"Sioux City, IA-NE-SD"
257,43620,"Sioux Falls, SD"
104,43780,"South Bend-Mishawaka, IN-MI"
22,43900,"Spartanburg, SC"
288,44060,"Spokane-Spokane Valley, WA"
65,44100,"Springfield, IL"
229,44140,"Springfield, MA"
383,44180,"Springfield, MO"
230,44220,"Springfield, OH"
103,41060,"St. Cloud, MN"
44,41100,"St. George, UT"
20,41140,"St. Joseph, MO-KS"
326,41180,"St. Louis, MO-IL"
258,44300,"State College, PA"
184,44420,"Staunton, VA"
384,44700,"Stockton, CA"
259,44940,"Sumter, SC"
23,45060,"Syracuse, NY"
231,45220,"Tallahassee, FL"
105,45300,"Tampa-St. Petersburg-Clearwater, FL"
308,45460,"Terre Haute, IN"
185,45500,"Texarkana, TX-AR"
106,45540,"The Villages, FL"
329,45780,"Toledo, OH"
260,45820,"Topeka, KS"
84,45940,"Trenton-Princeton, NJ"
135,46060,"Tucson, AZ"
186,46140,"Tulsa, OK"
136,46220,"Tuscaloosa, AL"
137,46300,"Twin Falls, ID"
289,46340,"Tyler, TX"
261,46520,"Urban Honolulu, HI"
309,46540,"Utica-Rome, NY"
208,46660,"Valdosta, GA"
107,46700,"Vallejo, CA"
187,47020,"Victoria, TX"
108,47220,"Vineland-Bridgeton, NJ"
262,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
138,47300,"Visalia, CA"
232,47380,"Waco, TX"
233,47460,"Walla Walla, WA"
85,47580,"Warner Robins, GA"
263,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
188,47940,"Waterloo-Cedar Falls, IA"
159,48060,"Watertown-Fort Drum, NY"
290,48140,"Wausau-Weston, WI"
109,48260,"Weirton-Steubenville, WV-OH"
310,48300,"Wenatchee, WA"
160,48540,"Wheeling, WV-OH"
358,48660,"Wichita Falls, TX"
86,48620,"Wichita, KS"
24,48700,"Williamsport, PA"
264,48900,"Wilmington, NC"
265,49020,"Winchester, VA-WV"
234,49180,"Winston-Salem, NC"
66,49340,"Worcester, MA-CT"
330,49420,"Yakima, WA"
311,49620,"York-Hanover, PA"
110,49660,"Youngstown-Warren-Boardman, OH-PA"
359,49700,"Yuba City, CA"
331,49740,"Yuma, AZ"
