,MSA,year,value
2726,"Auburn-Opelika, AL",2022,2.634964356
3109,"Auburn-Opelika, AL",2023,2.357894141
3492,"Auburn-Opelika, AL",2024,2.086277115
193,"Augusta-Richmond County, GA-SC",2015,6.4
576,"Augusta-Richmond County, GA-SC",2016,5.9
959,"Augusta-Richmond County, GA-SC",2017,5.3
1342,"Augusta-Richmond County, GA-SC",2018,4.9
1725,"Augusta-Richmond County, GA-SC",2019,4.6
2108,"Augusta-Richmond County, GA-SC",2020,4.316680439
2491,"Augusta-Richmond County, GA-SC",2021,4.049113861
2874,"Augusta-Richmond County, GA-SC",2022,3.796424378
3257,"Augusta-Richmond County, GA-SC",2023,3.5577848
3640,"Augusta-Richmond County, GA-SC",2024,3.332413932
144,"Austin-Round Rock-Georgetown, TX",2015,3.4
527,"Austin-Round Rock-Georgetown, TX",2016,3.1
910,"Austin-Round Rock-Georgetown, TX",2017,2.7
1293,"Austin-Round Rock-Georgetown, TX",2018,2.6
1676,"Austin-Round Rock-Georgetown, TX",2019,2.6
2059,"Austin-Round Rock-Georgetown, TX",2020,2.6
2442,"Austin-Round Rock-Georgetown, TX",2021,2.6
2825,"Austin-Round Rock-Georgetown, TX",2022,2.599999999
3208,"Austin-Round Rock-Georgetown, TX",2023,2.599999999
3591,"Austin-Round Rock-Georgetown, TX",2024,2.599999999
287,"Bakersfield, CA",2015,10.2
670,"Bakersfield, CA",2016,9.2
1053,"Bakersfield, CA",2017,8.1
1436,"Bakersfield, CA",2018,7.1
1819,"Bakersfield, CA",2019,6.9
2202,"Bakersfield, CA",2020,6.732417374
2585,"Bakersfield, CA",2021,6.591997691
2968,"Bakersfield, CA",2022,6.474338195
3351,"Bakersfield, CA",2023,6.375749759
3734,"Bakersfield, CA",2024,6.293141213
288,"Baltimore-Columbia-Towson, MD",2015,5.3
671,"Baltimore-Columbia-Towson, MD",2016,4.8
1054,"Baltimore-Columbia-Towson, MD",2017,4.3
1437,"Baltimore-Columbia-Towson, MD",2018,3.8
1820,"Baltimore-Columbia-Towson, MD",2019,3.6
2203,"Baltimore-Columbia-Towson, MD",2020,3.418359325
2586,"Baltimore-Columbia-Towson, MD",2021,3.253392652
2969,"Baltimore-Columbia-Towson, MD",2022,3.103569363
3352,"Baltimore-Columbia-Towson, MD",2023,2.967499347
3735,"Baltimore-Columbia-Towson, MD",2024,2.843920099
246,"Bangor, ME",2015,4.2
629,"Bangor, ME",2016,3.8
1012,"Bangor, ME",2017,3.4
1395,"Bangor, ME",2018,3.1
1778,"Bangor, ME",2019,2.9
2161,"Bangor, ME",2020,2.706550758
2544,"Bangor, ME",2021,2.519437713
2927,"Bangor, ME",2022,2.33845333
3310,"Bangor, ME",2023,2.163396873
3693,"Bangor, ME",2024,1.99407418
33,"Barnstable Town, MA",2015,5.9
416,"Barnstable Town, MA",2016,5.4
799,"Barnstable Town, MA",2017,4.8
1182,"Barnstable Town, MA",2018,4.3
1565,"Barnstable Town, MA",2019,4
1948,"Barnstable Town, MA",2020,3.716211075
2331,"Barnstable Town, MA",2021,3.447757229
2714,"Barnstable Town, MA",2022,3.193809802
3097,"Barnstable Town, MA",2023,2.953584911
3480,"Barnstable Town, MA",2024,2.726341033
247,"Baton Rouge, LA",2015,5.5
630,"Baton Rouge, LA",2016,5
1013,"Baton Rouge, LA",2017,4.5
1396,"Baton Rouge, LA",2018,4.1
1779,"Baton Rouge, LA",2019,3.7
2162,"Baton Rouge, LA",2020,3.303251601
2545,"Baton Rouge, LA",2021,2.909728372
2928,"Baton Rouge, LA",2022,2.519404096
3311,"Baton Rouge, LA",2023,2.132252768
3694,"Baton Rouge, LA",2024,1.748248595
248,"Battle Creek, MI",2015,5.2
631,"Battle Creek, MI",2016,4.7
1014,"Battle Creek, MI",2017,4.2
1397,"Battle Creek, MI",2018,3.8
1780,"Battle Creek, MI",2019,3.5
2163,"Battle Creek, MI",2020,3.205904484
2546,"Battle Creek, MI",2021,2.917597244
2929,"Battle Creek, MI",2022,2.634964356
3312,"Battle Creek, MI",2023,2.357894141
3695,"Battle Creek, MI",2024,2.086277115
46,"Bay City, MI",2015,5.8
429,"Bay City, MI",2016,5.3
812,"Bay City, MI",2017,4.8
1195,"Bay City, MI",2018,4.3
1578,"Bay City, MI",2019,4
1961,"Bay City, MI",2020,3.711334486
2344,"Bay City, MI",2021,3.433575223
2727,"Bay City, MI",2022,3.166310155
3110,"Bay City, MI",2023,2.909142794
3493,"Bay City, MI",2024,2.661691633
249,"Beaumont-Port Arthur, TX",2015,6.7
632,"Beaumont-Port Arthur, TX",2016,6.2
1015,"Beaumont-Port Arthur, TX",2017,5.5
1398,"Beaumont-Port Arthur, TX",2018,4.9
1781,"Beaumont-Port Arthur, TX",2019,4.8
2164,"Beaumont-Port Arthur, TX",2020,4.721902167
2547,"Beaumont-Port Arthur, TX",2021,4.660909452
2930,"Beaumont-Port Arthur, TX",2022,4.613275464
3313,"Beaumont-Port Arthur, TX",2023,4.576074351
3696,"Beaumont-Port Arthur, TX",2024,4.547021088
250,"Beckley, WV",2015,7.8
633,"Beckley, WV",2016,7.3
1016,"Beckley, WV",2017,6.7
1399,"Beckley, WV",2018,5.9
1782,"Beckley, WV",2019,5.7
2165,"Beckley, WV",2020,5.549956949
2548,"Beckley, WV",2021,5.437392363
2931,"Beckley, WV",2022,5.352944693
3314,"Beckley, WV",2023,5.289590763
3697,"Beckley, WV",2024,5.242061678
194,"Bellingham, WA",2015,6.1
577,"Bellingham, WA",2016,5.7
960,"Bellingham, WA",2017,5.1
1343,"Bellingham, WA",2018,4.6
1726,"Bellingham, WA",2019,4.3
2109,"Bellingham, WA",2020,4.028576539
2492,"Bellingham, WA",2021,3.783007554
2875,"Bellingham, WA",2022,3.560830276
3258,"Bellingham, WA",2023,3.359816522
3641,"Bellingham, WA",2024,3.17795036
289,"Bend, OR",2015,5.9
672,"Bend, OR",2016,5.4
1055,"Bend, OR",2017,4.8
1438,"Bend, OR",2018,4.3
1821,"Bend, OR",2019,4.1
2204,"Bend, OR",2020,3.92083022
2587,"Bend, OR",2021,3.760321169
2970,"Bend, OR",2022,3.616529312
3353,"Bend, OR",2023,3.487713535
3736,"Bend, OR",2024,3.372314062
195,"Billings, MT",2015,3.3
578,"Billings, MT",2016,3
961,"Billings, MT",2017,2.7
1344,"Billings, MT",2018,2.5
1727,"Billings, MT",2019,2.5
2110,"Billings, MT",2020,2.5
2493,"Billings, MT",2021,2.5
2876,"Billings, MT",2022,2.5
3259,"Billings, MT",2023,2.5
3642,"Billings, MT",2024,2.5
342,"Binghamton, NY",2015,5.9
725,"Binghamton, NY",2016,5.4
1108,"Binghamton, NY",2017,4.8
1491,"Binghamton, NY",2018,4.3
1874,"Binghamton, NY",2019,4.1
2257,"Binghamton, NY",2020,3.92083022
2640,"Binghamton, NY",2021,3.760321169
3023,"Binghamton, NY",2022,3.616529312
3406,"Binghamton, NY",2023,3.487713535
3789,"Binghamton, NY",2024,3.372314062
361,"Birmingham-Hoover, AL",2015,5.5
744,"Birmingham-Hoover, AL",2016,5.1
1127,"Birmingham-Hoover, AL",2017,4.5
1510,"Birmingham-Hoover, AL",2018,4.1
1893,"Birmingham-Hoover, AL",2019,3.7
2276,"Birmingham-Hoover, AL",2020,3.330474182
2659,"Birmingham-Hoover, AL",2021,2.989100856
3042,"Birmingham-Hoover, AL",2022,2.673735213
3425,"Birmingham-Hoover, AL",2023,2.382395844
3808,"Birmingham-Hoover, AL",2024,2.113252299
309,"Bismarck, ND",2015,2.6
692,"Bismarck, ND",2016,2.5
1075,"Bismarck, ND",2017,2.3
1458,"Bismarck, ND",2018,2.1
1841,"Bismarck, ND",2019,2.1
2224,"Bismarck, ND",2020,2.1
2607,"Bismarck, ND",2021,2.1
2990,"Bismarck, ND",2022,2.1
3373,"Bismarck, ND",2023,2.1
3756,"Bismarck, ND",2024,2.1
169,"Blacksburg-Christiansburg, VA ",2015,4.6
552,"Blacksburg-Christiansburg, VA ",2016,4.3
935,"Blacksburg-Christiansburg, VA ",2017,3.8
1318,"Blacksburg-Christiansburg, VA ",2018,3.3
1701,"Blacksburg-Christiansburg, VA ",2019,3.1
2084,"Blacksburg-Christiansburg, VA ",2020,2.936310522
2467,"Blacksburg-Christiansburg, VA ",2021,2.802339297
2850,"Blacksburg-Christiansburg, VA ",2022,2.692690897
3233,"Blacksburg-Christiansburg, VA ",2023,2.602949451
3616,"Blacksburg-Christiansburg, VA ",2024,2.529500799
0,"Bloomington, IL",2015,4.8
383,"Bloomington, IL",2016,4.5
766,"Bloomington, IL",2017,4
1149,"Bloomington, IL",2018,3.5
1532,"Bloomington, IL",2019,3.3
1915,"Bloomington, IL",2020,3.136312627
2298,"Bloomington, IL",2021,3.002344845
2681,"Bloomington, IL",2022,2.892700674
3064,"Bloomington, IL",2023,2.802963842
3447,"Bloomington, IL",2024,2.729519911
145,"Bloomington, IN",2015,5.1
528,"Bloomington, IN",2016,4.7
911,"Bloomington, IN",2017,4.1
1294,"Bloomington, IN",2018,3.7
1677,"Bloomington, IN",2019,3.4
2060,"Bloomington, IN",2020,3.129937185
