NAME,Rank_Total
"Pensacola-Ferry Pass-Brent, FL",1962.5
"Peoria, IL",986
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1652
"Phoenix-Mesa-Chandler, AZ",2260.5
"Pine Bluff, AR",593.5
"Pittsburgh, PA",1541.5
"Pittsfield, MA",1186
"Pocatello, ID",1592
"Port St. Lucie, FL",1804
"Portland-South Portland, ME",1881.5
"Portland-Vancouver-Hillsboro, OR-WA",1831.5
"Prescott Valley-Prescott, AZ",1795
"Providence-Warwick, RI-MA",1285
"Provo-Orem, UT",2571
"Pueblo, CO",1743.5
"Punta Gorda, FL",1850
"Racine, WI",1492
"Raleigh-Cary, NC",2480
"Rapid City, SD",1744.5
"Reading, PA",1754
"Redding, CA",1249
"Reno, NV",1555.5
"Richmond, VA",1934
"Riverside-San Bernardino-Ontario, CA",1921
"Roanoke, VA",1524.5
"Rochester, MN",1665.5
"Rochester, NY",1208.5
"Rockford, IL",1258.5
"Rocky Mount, NC",633
"Rome, GA",1196.5
"Sacramento-Roseville-Folsom, CA",1713
"Saginaw, MI",807.5
"Salem, OR",1478.5
"Salinas, CA",1077
"Salisbury, MD-DE",1732
"Salt Lake City, UT",1795
"San Angelo, TX",1127.5
"San Antonio-New Braunfels, TX",1939.5
"San Diego-Chula Vista-Carlsbad, CA",1648.5
"San Francisco-Oakland-Berkeley, CA",1429.5
"San Jose-Sunnyvale-Santa Clara, CA",1566
"San Luis Obispo-Paso Robles, CA",1726.5
"Santa Cruz-Watsonville, CA",1120.5
"Santa Fe, NM",1247.5
"Santa Maria-Santa Barbara, CA",1852
"Santa Rosa-Petaluma, CA",1746
"Savannah, GA",1823
"Scranton-Wilkes-Barre, PA",1109.5
"Seattle-Tacoma-Bellevue, WA",2586.5
"Sebastian-Vero Beach, FL",1627.5
"Sebring-Avon Park, FL",1292
"Sheboygan, WI",1406.5
"Sherman-Denison, TX",1437.5
"Shreveport-Bossier City, LA",984.5
"Sierra Vista-Douglas, AZ",966.5
"Sioux City, IA-NE-SD",1176.5
"Sioux Falls, SD",2341
"South Bend-Mishawaka, IN-MI",1140.5
"Spartanburg, SC",1990
"Spokane-Spokane Valley, WA",1739.5
"Springfield, IL",986.5
"Springfield, MA",1382.5
"Springfield, MO",1521.5
"Springfield, OH",990
"St. Cloud, MN",1710
"St. George, UT",1946.5
"St. Joseph, MO-KS",1444
"St. Louis, MO-IL",1530.5
"State College, PA",1467.5
"Staunton, VA",1203.5
"Stockton, CA",1385
"Sumter, SC",1076
"Syracuse, NY",1589.5
"Tallahassee, FL",1180.5
"Tampa-St. Petersburg-Clearwater, FL",2187.5
"Terre Haute, IN",1014
"Texarkana, TX-AR",1271.5
"The Villages, FL",2315.5
"Toledo, OH",1433.5
"Topeka, KS",1436
"Trenton-Princeton, NJ",1743
"Tucson, AZ",1817
"Tulsa, OK",1584
"Tuscaloosa, AL",1434
"Twin Falls, ID",1993
"Tyler, TX",1632
"Urban Honolulu, HI",1749
"Utica-Rome, NY",1035
"Valdosta, GA",1337.5
"Vallejo, CA",2004
"Victoria, TX",1180
"Vineland-Bridgeton, NJ",1289
"Virginia Beach-Norfolk-Newport News, VA-NC",1729.5
"Visalia, CA",938
