NAME,Rank_Total
"San Jose-Sunnyvale-Santa Clara, CA",377.5
"San Luis Obispo-Paso Robles, CA",422
"Santa Cruz-Watsonville, CA",974
"Santa Fe, NM",886
"Santa Maria-Santa Barbara, CA",756
"Santa Rosa-Petaluma, CA",553
"Savannah, GA",357.5
"Scranton--Wilkes-Barre, PA",1036
"Seattle-Tacoma-Bellevue, WA",292
"Sebastian-Vero Beach, FL",552.5
"Sebring-Avon Park, FL",975.5
"Sheboygan, WI",984
"Sherman-Denison, TX",740
"Shreveport-Bossier City, LA",1042
"Sierra Vista-Douglas, AZ",1343
"Sioux City, IA-NE-SD",1095.5
"Sioux Falls, SD",482
"South Bend-Mishawaka, IN-MI",878.5
"Spartanburg, SC",778
"Spokane-Spokane Valley, WA",851.5
"Springfield, IL",1050.5
"Springfield, MA",906.5
"Springfield, MO",501.5
"Springfield, OH",1055.5
"St. Cloud, MN",536
"St. George, UT",255.5
"St. Joseph, MO-KS",749.5
"St. Louis, MO-IL",902
"State College, PA",469.5
"Staunton, VA",969
"Stockton, CA",615
"Sumter, SC",1295
"Syracuse, NY",1056
"Tallahassee, FL",872
"Tampa-St. Petersburg-Clearwater, FL",604.5
"Terre Haute, IN",1226.5
"Texarkana, TX-AR",905
"The Villages, FL",359
"Toledo, OH",1085
"Topeka, KS",976
"Trenton-Princeton, NJ",829
"Tucson, AZ",753.5
"Tulsa, OK",697
"Tuscaloosa, AL",782.5
"Twin Falls, ID",588.5
"Tyler, TX",448
"Urban Honolulu, HI",731
"Utica-Rome, NY",1154
"Valdosta, GA",889
"Vallejo, CA",691.5
"Victoria, TX",798.5
"Vineland-Bridgeton, NJ",1036
"Virginia Beach-Norfolk-Newport News, VA-NC",902
"Visalia, CA",791.5
"Waco, TX",556.5
"Walla Walla, WA",744.5
"Warner Robins, GA",817
"Washington-Arlington-Alexandria, DC-VA-MD-WV",578.5
"Waterloo-Cedar Falls, IA",856.5
"Watertown-Fort Drum, NY",1048.5
"Wausau-Weston, WI",886.5
"Weirton-Steubenville, WV-OH",1306
"Wenatchee, WA",499.5
"Wheeling, WV-OH",848
"Wichita Falls, TX",1100.5
"Wichita, KS",592
"Williamsport, PA",895
"Wilmington, NC",441
"Winchester, VA-WV",576.5
"Winston-Salem, NC",925
"Worcester, MA-CT",795
"Yakima, WA",876.5
"York-Hanover, PA",893
"Youngstown-Warren-Boardman, OH-PA",1353
"Yuba City, CA",1068.5
"Yuma, AZ",862
