CBSA,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
19820,"Detroit-Warren-Dearborn, MI",4291508,4291696,4300864,4305587,4311194,4309673,4316260,4321593,4322084,4319629
20020,"Dothan, AL",145871,146621,147448,147449,147830,147992,147784,147878,148249,149358
20100,"Dover, DE",162956,165110,167297,169038,171456,173128,174542,176499,178540,180786
20220,"Dubuque, IA",93929,94593,95159,95945,96481,96850,96763,97066,96922,97311
20260,"Duluth, MN-WI",290542,290594,290176,290193,290261,289741,289395,289108,289260,288732
20500,"Durham-Chapel Hill, NC",566267,572520,581735,590364,599236,607706,618222,625678,637501,644367
20700,"East Stroudsburg, PA",169849,169891,168628,167355,167285,166481,166220,167895,169294,170271
20740,"Eau Claire, WI",161655,162886,163892,164822,165023,165501,166430,167329,168464,169304
20940,"El Centro, CA",174716,175786,176575,176438,177974,178937,180179,181649,181523,181215
21060,"Elizabethtown-Fort Knox, KY",149833,151319,151501,152228,151675,148107,148941,150390,153201,153928
21140,"Elkhart-Goshen, IN",197451,198279,198968,200205,201423,202995,203642,204194,205617,206341
21300,"Elmira, NY",88895,88899,89137,88199,87177,86705,85644,84736,83935,83456
21340,"El Paso, TX",807048,823308,835667,834203,837089,835439,839203,842005,841613,844124
21420,"Enid, OK",60765,60763,61399,62370,62790,63248,62493,61600,61095,61056
21500,"Erie, PA",280799,281327,281532,280717,279423,278174,276170,273558,271544,269728
21660,"Eugene-Springfield, OR",351920,354034,355075,355481,358027,361946,368874,375264,378549,382067
21780,"Evansville, IN-KY",311802,312698,313422,314331,314859,314983,315283,314791,314660,315086
21820,"Fairbanks, AK",98264,98120,100311,100933,99254,99636,100633,99675,98565,96849
22020,"Fargo, ND-MN",209455,213222,217610,223360,227790,232891,237244,241511,244311,246145
22140,"Farmington, NM",130203,129711,129756,129467,129084,128246,127954,126917,125499,123958
22180,"Fayetteville, NC",490446,499149,502672,509180,510635,511976,516822,517527,522461,526719
22220,"Fayetteville-Springdale-Rogers, AR",442301,452884,462291,471140,480513,491730,503806,515616,525239,534904
22380,"Flagstaff, AZ",134612,134275,136146,136699,137566,138962,140407,141001,142523,143476
22420,"Flint, MI",424953,422026,418193,415639,412859,410461,408926,407488,406688,405813
22500,"Florence, SC",205662,205800,206041,205986,206426,206235,205854,205476,205036,204911
22520,"Florence-Muscle Shoals, AL",147261,147146,147232,147230,147462,146876,146922,147259,147608,147970
22540,"Fond du Lac, WI",101576,101810,101788,101787,101977,101955,102211,102417,103001,103403
22660,"Fort Collins, CO",300441,305246,310842,316225,324008,333303,338984,344084,350660,356899
22900,"Fort Smith, AR-OK",248344,249236,249491,248569,248220,248820,249170,250231,250298,250368
23060,"Fort Wayne, IN",389298,392332,394225,396638,398591,400806,402887,405445,409126,413263
23420,"Fresno, CA",932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
23460,"Gadsden, AL",104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
23540,"Gainesville, FL",305334,306979,308240,308865,311743,316031,321418,324485,327933,329128
23580,"Gainesville, GA",180033,182269,184102,186431,189142,192245,196159,198953,201538,204441
23900,"Gettysburg, PA",101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
24020,"Glens Falls, NY",129021,128827,128420,127848,127341,126666,126233,125924,125489,125148
24140,"Goldsboro, NC",122886,124038,124559,124587,124586,124342,124269,123034,123237,123131
24220,"Grand Forks, ND-MN",98633,98194,99093,100741,101260,101849,102171,102126,101766,100815
24260,"Grand Island, NE",72936,73547,74238,74652,75240,75319,75598,75456,75476,75553
24300,"Grand Junction, CO",146259,147174,147317,147175,147113,148025,149736,151170,152951,154210
24340,"Grand Rapids-Kentwood, MI",994262,1002556,1013655,1025473,1036234,1044842,1054710,1063670,1071370,1077370
24420,"Grants Pass, OR",82879,82702,82755,83131,83377,84528,85504,86584,87150,87487
24500,"Great Falls, MT",81507,81714,81622,82194,82056,81878,81562,81633,81688,81366
24540,"Greeley, CO",254207,258827,264131,270165,277112,285819,295712,305885,314815,324492
24580,"Green Bay, WI",306754,308613,310605,311947,314003,315652,317369,319694,321384,322906
24660,"Greensboro-High Point, NC",725264,730095,735475,740604,746497,751285,758635,762071,766473,771851
24780,"Greenville, NC",168863,170791,172980,174380,174974,176071,177171,178607,179575,180742
24860,"Greenville-Anderson, SC",825625,833220,840903,848417,860285,872521,884327,895357,907028,920477
25060,"Gulfport-Biloxi, MS",389324,393744,396803,399940,403841,406604,408865,412754,414686,417665
25180,"Hagerstown-Martinsburg, MD-WV",269833,271983,273429,274926,276755,278236,280717,282958,285722,288104
25220,"Hammond, LA",121485,122700,123646,125520,127010,128716,130619,132353,133837,134758
25260,"Hanford-Corcoran, CA",152370,151868,150991,150337,149495,150085,149382,149665,151382,152940
25420,"Harrisburg-Carlisle, PA",550088,552280,555057,558139,561164,564678,567510,570784,574149,577941
25500,"Harrisonburg, VA",125401,126796,128449,128956,130420,131120,132909,134041,134749,134964
25540,"Hartford-East Hartford-Middletown, CT",1214091,1216088,1215307,1214785,1213886,1211748,1208595,1207027,1206139,1204877
25620,"Hattiesburg, MS",162856,164801,165994,166971,167179,167873,168158,167719,168292,168849
25860,"Hickory-Lenoir-Morganton, NC",365565,364478,363670,363379,363035,363346,364798,367085,368449,369711
25940,"Hilton Head Island-Bluffton, SC",187777,189330,193145,197292,201725,207256,211269,215019,218023,222195
25980,"Hinesville, GA",77339,80267,80406,78825,81120,79269,79845,80399,79697,80994
26140,"Homosassa Springs, FL",141173,139764,139180,138829,138828,140287,142804,145415,147682,149657
26300,"Hot Springs, AR",96067,96854,96986,97654,97758,97814,98282,98327,98966,99386
26380,"Houma-Thibodaux, LA",208251,208713,208885,209983,211368,212131,211512,209946,209144,208075
26420,"Houston-The Woodlands-Sugar Land, TX",5947236,6056193,6183531,6328208,6500199,6671808,6806503,6900090,6976147,7066141
26580,"Huntington-Ashland, WV-KY-OH",371065,371126,370972,370179,368938,367224,365020,361970,359069,355873
26620,"Huntsville, AL",419276,425122,430056,435541,440395,444542,449576,455892,463181,471824
26820,"Idaho Falls, ID",133813,134959,136165,136840,137838,139542,142520,145512,148436,151530
26900,"Indianapolis-Carmel-Anderson, IN",1892640,1910719,1929678,1953600,1971006,1986119,2006760,2027584,2052368,2074537
26980,"Iowa City, IA",153025,155908,159006,162095,164759,167088,169054,171529,172607,173105
27060,"Ithaca, NY",101740,101821,102726,103553,103391,103006,102942,102664,102419,102180
27100,"Jackson, MI",160109,159658,159962,159628,159421,159264,158277,158563,158566,158510
27140,"Jackson, MS",588272,593409,595585,596325,597357,597928,599170,599358,597376,594806
27180,"Jackson, TN",179762,179692,179857,179836,179358,178607,178306,178336,178315,178644
27260,"Jacksonville, FL",1348907,1361972,1377607,1393432,1416446,1444638,1476023,1505033,1532663,1559514
27340,"Jacksonville, NC",186892,184993,190678,192354,191822,193114,192314,195066,196915,197938
27500,"Janesville-Beloit, WI",160260,159867,160065,160341,160920,161006,161320,162205,162874,163354
27620,"Jefferson City, MO",149991,150413,150391,150669,150727,150928,151375,151319,151512,151235
27740,"Johnson City, TN",199010,199574,200473,200470,200021,200331,201457,201909,202900,203649
27780,"Johnstown, PA",143461,142579,141536,138826,137537,136028,134414,132960,131449,130192
27860,"Jonesboro, AR",121263,122854,124292,125840,126813,128459,129906,131259,132719,133860
27900,"Joplin, MO",175833,173846,174407,175144,175869,176686,177397,178239,178613,179564
27980,"Kahului-Wailuku-Lahaina, HI",155020,156936,158889,161004,163036,163904,165350,166146,166972,167417
28020,"Kalamazoo-Portage, MI",250751,252600,255353,257311,258951,259676,261304,262998,264680,265066
28100,"Kankakee, IL",113418,113519,112974,112735,111883,111750,111080,110540,109953,109862
28140,"Kansas City, MO-KS",2013361,2025490,2038586,2053850,2069182,2085913,2107066,2127203,2144427,2157990
28420,"Kennewick-Richland, WA",255542,263487,268071,270766,274154,278945,283693,290096,295289,299612
28660,"Killeen-Temple, TX",408262,412348,423475,423931,426421,432583,436421,442998,451272,460303
28700,"Kingsport-Bristol, TN-VA",309480,309098,308623,307811,307198,306279,306017,306496,306736,307202
28740,"Kingston, NY",182418,182448,181538,180698,180400,179658,179042,178635,178418,177573
28940,"Knoxville, TN",815984,820702,825007,829017,832928,837818,844942,853645,861234,869046
29020,"Kokomo, IN",82752,82797,82839,82738,82605,82338,82304,82210,82257,82544
29100,"La Crosse-Onalaska, WI-MN",133897,134106,135307,135655,136140,136385,136384,136710,136613,136616
29180,"Lafayette, LA",467612,470935,474205,479794,484876,489507,490877,490299,489680,489207
29200,"Lafayette-West Lafayette, IN",210687,213230,216449,219183,221445,223573,227088,228101,230938,233002
29340,"Lake Charles, LA",199943,200534,201110,202205,203296,205275,207464,209410,210190,210409
29420,"Lake Havasu City-Kingman, AZ",200314,202812,203347,203126,203423,204574,205412,207017,209292,212181
