,CBSA,year,Population
416,21500,2011,281327
417,24660,2011,730095
418,25860,2011,364478
419,27980,2011,156936
420,30780,2011,710682
421,34100,2011,137560
422,35100,2011,128135
423,37900,2011,416687
424,40340,2011,208473
425,40660,2011,96161
426,40900,2011,2172948
427,41100,2011,141249
428,41500,2011,420456
429,42020,2011,271058
430,42660,2011,3503891
431,43580,2011,144171
432,11180,2011,117424
433,10500,2011,154545
434,12620,2011,153759
435,13780,2011,250238
436,20020,2011,146621
437,21780,2011,312698
438,26300,2011,96854
439,27620,2011,150413
440,30980,2011,282427
441,31080,2011,12925753
442,31860,2011,97325
443,37100,2011,830099
444,39660,2011,127903
445,39820,2011,177588
446,41940,2011,1868031
447,43340,2011,403880
448,44100,2011,211736
449,49340,2011,922378
450,12060,2011,5366462
451,14020,2011,161722
452,15940,2011,403331
453,17980,2011,315305
454,22420,2011,422026
455,24780,2011,170791
456,27100,2011,159658
457,27340,2011,184993
458,30020,2011,132255
459,30460,2011,478930
460,34980,2011,1674534
461,37340,2011,544359
462,38060,2011,4253037
463,39380,2011,160184
464,40580,2011,151790
465,41860,2011,4395725
466,42200,2011,425453
467,45940,2011,367378
468,47580,2011,171561
469,48620,2011,625327
470,12980,2011,135105
471,13380,2011,203490
472,13820,2011,1064030
473,14260,2011,627670
474,18020,2011,77620
475,20220,2011,94593
476,25500,2011,126796
477,25940,2011,189330
478,26580,2011,371126
479,26620,2011,425122
480,29620,2011,536605
481,29820,2011,1961925
482,31340,2011,254190
483,33340,2011,1561296
484,36140,2011,96494
485,39460,2011,159869
486,41060,2011,190090
487,43780,2011,318884
488,45300,2011,2813269
489,45540,2011,97975
490,46700,2011,416342
491,47220,2011,157043
492,48260,2011,123482
493,49660,2011,562347
494,11260,2011,387922
495,12700,2011,215356
496,17660,2011,140932
497,19340,2011,380685
498,22220,2011,452884
499,22540,2011,101810
500,23580,2011,182269
501,24140,2011,124038
502,24340,2011,1002556
503,26140,2011,139764
504,27260,2011,1361972
505,27500,2011,159867
506,27860,2011,122854
507,28020,2011,252600
508,29340,2011,200534
509,33660,2011,430423
510,33740,2011,204886
511,36980,2011,115255
512,38300,2011,2360417
513,39300,2011,1602957
514,39900,2011,427901
515,41740,2011,3137156
516,42540,2011,563676
517,42700,2011,98477
518,46060,2011,988381
519,46220,2011,240363
520,46300,2011,100620
521,47300,2011,446784
522,11020,2011,126970
523,12260,2011,570849
524,12580,2011,2733785
525,13220,2011,125266
526,17300,2011,277405
527,18580,2011,407721
528,19140,2011,142285
529,19180,2011,81414
530,19780,2011,618299
531,20940,2011,175786
532,22140,2011,129711
533,25220,2011,122700
534,26380,2011,208713
535,28740,2011,182448
536,29700,2011,255935
537,30860,2011,127591
538,31020,2011,102309
539,31460,2011,151675
540,31700,2011,402774
541,37620,2011,92643
542,48060,2011,117752
543,48540,2011,147260
544,13020,2011,107417
545,13140,2011,390905
546,13740,2011,169017
547,16580,2011,219876
548,22380,2011,134275
549,24300,2011,147174
550,25980,2011,80267
551,27180,2011,179692
552,30700,2011,306619
553,31180,2011,295338
554,31740,2011,130746
555,33700,2011,517560
556,33860,2011,375549
557,34820,2011,385650
558,38220,2011,99052
559,38540,2011,91421
560,38860,2011,516070
561,38940,2011,428287
562,40140,2011,4294897
563,40220,2011,309134
564,41540,2011,378196
565,41620,2011,1106800
566,43420,2011,133097
567,44420,2011,118774
568,45500,2011,149515
569,46140,2011,945750
570,47020,2011,94765
571,47940,2011,168443
572,10780,2011,154402
573,11700,2011,428113
574,12100,2011,274621
575,14540,2011,160985
576,16540,2011,150934
577,19740,2011,2602918
578,22020,2011,213222
579,23060,2011,392332
580,23460,2011,104369
581,29100,2011,134106
582,29180,2011,470935
583,29420,2011,202812
584,30300,2011,61409
585,33220,2011,83805
586,34060,2011,132678
587,35840,2011,709775
588,36420,2011,1277045
589,43100,2011,115208
590,43300,2011,121430
591,46660,2011,142007
592,14460,2011,4609790
593,15380,2011,1135562
594,16060,2011,139956
595,16220,2011,76399
596,16620,2011,276817
597,16820,2011,203617
598,17420,2011,116569
599,17780,2011,231435
600,19430,2011,800858
601,22520,2011,147146
602,23420,2011,939406
603,23540,2011,306979
604,24580,2011,308613
605,25180,2011,271983
606,31420,2011,232707
607,33100,2011,5668271
608,33260,2011,145108
609,37860,2011,455139
610,38900,2011,2262834
611,42340,2011,355582
612,44140,2011,698017
613,44220,2011,137811
614,45220,2011,371246
615,47380,2011,255700
616,47460,2011,59444
617,49180,2011,644266
618,10180,2011,166634
619,10580,2011,872778
620,12220,2011,144130
621,11500,2011,117744
622,14500,2011,299957
623,14740,2011,254297
624,17820,2011,660674
625,19460,2011,154075
626,19820,2011,4291696
627,20260,2011,290594
628,21660,2011,354034
629,24020,2011,128827
630,28940,2011,820702
631,29540,2011,523957
632,32780,2011,204747
633,32820,2011,1323741
634,33540,2011,110245
635,34620,2011,117901
636,34900,2011,137691
637,39150,2011,211044
638,40060,2011,1197059
639,40420,2011,347773
640,43620,2011,232150
641,44300,2011,155067
642,44940,2011,142018
643,45820,2011,234696
644,46520,2011,967336
645,47260,2011,1723208
646,47900,2011,5782319
647,48900,2011,259141
648,49020,2011,129954
649,10420,2011,703200
650,10740,2011,898016
651,14100,2011,85449
652,16740,2011,2281230
653,16940,2011,92576
654,17860,2011,194030
655,18880,2011,238704
656,25260,2011,151868
657,25540,2011,1216088
658,26980,2011,155908
659,27780,2011,142579
660,28140,2011,2025490
661,29020,2011,82797
662,29460,2011,609948
663,29940,2011,112479
664,30140,2011,134529
665,30620,2011,105988
666,31140,2011,1211869
667,35300,2011,863871
668,36220,2011,139642
669,39580,2011,1162179
670,39740,2011,413008
671,44060,2011,516889
672,46340,2011,212764
673,48140,2011,162844
674,15980,2011,631053
675,16700,2011,681262
676,20500,2011,572520
677,22500,2011,205800
678,24540,2011,258827
679,27740,2011,199574
680,28700,2011,309098
681,33140,2011,111317
682,33780,2011,151496
683,35380,2011,1214008
684,35660,2011,156885
685,35980,2011,273037
686,36100,2011,332286
687,36500,2011,256386
688,36540,2011,876022
689,36780,2011,167493
690,41660,2011,114513
691,45460,2011,189541
692,46540,2011,298604
693,48300,2011,111876
694,49620,2011,436701
695,12540,2011,847970
696,15680,2011,107566
697,16180,2011,54676
698,16300,2011,261028
699,17020,2011,219975
700,19060,2011,102629
701,21820,2011,98120
702,25420,2011,552280
703,25620,2011,164801
704,28420,2011,263487
705,34580,2011,117578
706,34940,2011,327629
707,39100,2011,672230
708,40380,2011,1081557
709,41180,2011,2795155
710,41420,2011,393978
711,42220,2011,487421
712,45780,2011,650166
713,49420,2011,245926
714,49740,2011,202841
715,10540,2011,118164
716,12420,2011,1780535
717,13460,2011,159660
718,13980,2011,163442
719,15260,2011,112895
720,16020,2011,96982
721,17460,2011,2068989
722,17900,2011,776195
723,18140,2011,1926338
724,19300,2011,186558
725,22180,2011,499149
726,22660,2011,305246
727,24220,2011,98194
728,25060,2011,393744
729,26820,2011,134959
730,27900,2011,173846
731,29200,2011,213230
732,30340,2011,107439
733,31540,2011,613159
734,32900,2011,259297
735,35620,2011,19052774
736,36260,2011,605591
737,37460,2011,169555
738,39340,2011,541001
739,39540,2011,194908
740,42680,2011,139103
741,48660,2011,150311
742,49700,2011,166971
743,11100,2011,255975
744,11460,2011,349753
745,13900,2011,112865
746,15180,2011,413201
747,15500,2011,152692
748,16860,2011,533621
749,17140,2011,2146208
750,18700,2011,86266
751,19100,2011,6510544
752,19500,2011,110684
753,20700,2011,169891
754,21060,2011,151319
755,22900,2011,249236
756,23900,2011,101474
757,24860,2011,833220
758,29740,2011,213126
759,31900,2011,123144
760,34740,2011,170026
761,36740,2011,2176054
762,37980,2011,5996232
763,38340,2011,130547
764,41700,2011,2193923
765,42100,2011,264858
766,44180,2011,440432
767,44700,2011,694354
768,11540,2012,228656
769,12020,2012,195984
770,14010,2012,172721
771,15540,2012,213962
772,19660,2012,594969
773,20100,2012,167297
774,20740,2012,163892
775,24260,2012,74238
776,24420,2012,82755
777,24500,2012,81622
778,26420,2012,6183531
779,26900,2012,1929678
780,27060,2012,102726
781,27140,2012,595585
782,28100,2012,112974
783,28660,2012,423475
784,32580,2012,808334
785,33460,2012,3405952
786,40980,2012,198363
787,41140,2012,127908
788,42140,2012,146722
789,43900,2012,288176
790,45060,2012,660902
791,48700,2012,117222
792,10900,2012,826144
793,12940,2012,836197
