,CBSA,Metropolitan_Area,Rank_Total
219,45780,"Toledo, OH",1085.0
220,46220,"Tuscaloosa, AL",782.5
221,46300,"Twin Falls, ID",588.5
222,48660,"Wichita Falls, TX",1100.5
223,12260,"Augusta-Richmond County, GA-SC",866.5
224,13220,"Beckley, WV",1323.5
225,16740,"Charlotte-Concord-Gastonia, NC-SC",275.5
226,17660,"Coeur d'Alene, ID",250.0
227,18020,"Columbus, IN",621.5
228,20220,"Dubuque, IA",573.0
229,22380,"Flagstaff, AZ",558.0
230,22520,"Florence-Muscle Shoals, AL",1117.5
231,27180,"Jackson, TN",1038.5
232,27780,"Johnstown, PA",1313.0
233,29820,"Las Vegas-Henderson-Paradise, NV",612.5
234,31540,"Madison, WI",642.0
235,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",767.0
236,38540,"Pocatello, ID",1134.0
237,40660,"Rome, GA",1099.5
238,42340,"Savannah, GA",357.5
239,43420,"Sierra Vista-Douglas, AZ",1343.0
240,47220,"Vineland-Bridgeton, NJ",1036.0
241,48140,"Wausau-Weston, WI",886.5
242,16820,"Charlottesville, VA",433.5
243,19140,"Dalton, GA",1031.5
244,22220,"Fayetteville-Springdale-Rogers, AR",377.5
245,22420,"Flint, MI",1094.5
246,22500,"Florence, SC",1040.0
247,24340,"Grand Rapids-Kentwood, MI",679.0
248,30140,"Lebanon, PA",549.5
249,33140,"Michigan City-La Porte, IN",1309.5
250,36500,"Olympia-Lacey-Tumwater, WA",582.0
251,40140,"Riverside-San Bernardino-Ontario, CA",549.5
252,40900,"Sacramento-Roseville-Folsom, CA",697.5
253,42200,"Santa Maria-Santa Barbara, CA",756.0
254,42220,"Santa Rosa-Petaluma, CA",553.0
255,44100,"Springfield, IL",1050.5
256,46340,"Tyler, TX",448.0
257,47380,"Waco, TX",556.5
258,48620,"Wichita, KS",592.0
259,49700,"Yuba City, CA",1068.5
260,10780,"Alexandria, LA",983.5
261,12220,"Auburn-Opelika, AL",117.5
262,13140,"Beaumont-Port Arthur, TX",989.5
263,13780,"Binghamton, NY",1180.5
264,15180,"Brownsville-Harlingen, TX",794.0
265,15980,"Cape Coral-Fort Myers, FL",150.0
266,17460,"Cleveland-Elyria, OH",887.5
267,19660,"Deltona-Daytona Beach-Ormond Beach, FL",511.5
268,21820,"Fairbanks, AK",816.5
269,22140,"Farmington, NM",1038.0
270,24020,"Glens Falls, NY",782.0
271,24420,"Grants Pass, OR",901.5
272,25220,"Hammond, LA",799.0
273,25500,"Harrisonburg, VA",756.5
274,28100,"Kankakee, IL",938.5
275,29460,"Lakeland-Winter Haven, FL",733.0
276,29700,"Laredo, TX",199.0
277,33540,"Missoula, MT",651.5
278,39150,"Prescott Valley-Prescott, AZ",608.0
279,39580,"Raleigh-Cary, NC",196.0
280,40340,"Rochester, MN",919.5
281,40420,"Rockford, IL",1239.0
282,41500,"Salinas, CA",840.0
283,41660,"San Angelo, TX",653.0
284,42140,"Santa Fe, NM",886.0
285,44940,"Sumter, SC",1295.0
286,46540,"Utica-Rome, NY",1154.0
287,47020,"Victoria, TX",798.5
288,48060,"Watertown-Fort Drum, NY",1048.5
289,48260,"Weirton-Steubenville, WV-OH",1306.0
290,10740,"Albuquerque, NM",1046.5
291,11460,"Ann Arbor, MI",749.5
292,15380,"Buffalo-Cheektowaga, NY",806.5
293,17020,"Chico, CA",802.0
294,18140,"Columbus, OH",374.5
295,18580,"Corpus Christi, TX",555.0
296,19430,"Dayton-Kettering, OH",936.0
297,19820,"Detroit-Warren-Dearborn, MI",911.0
298,20740,"Eau Claire, WI",618.0
299,27340,"Jacksonville, NC",627.5
300,27500,"Janesville-Beloit, WI",942.5
301,28940,"Knoxville, TN",678.0
302,29180,"Lafayette, LA",841.0
303,31700,"Manchester-Nashua, NH",1013.5
304,33340,"Milwaukee-Waukesha, WI",819.5
305,35100,"New Bern, NC",1187.0
306,35980,"Norwich-New London, CT",1194.0
307,41180,"St. Louis, MO-IL",902.0
308,43580,"Sioux City, IA-NE-SD",1095.5
309,45940,"Trenton-Princeton, NJ",829.0
310,46060,"Tucson, AZ",753.5
311,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",902.0
312,13020,"Bay City, MI",1268.0
313,15940,"Canton-Massillon, OH",746.5
314,16180,"Carson City, NV",1412.5
315,24540,"Greeley, CO",336.0
316,24780,"Greenville, NC",352.0
317,26300,"Hot Springs, AR",891.0
318,26380,"Houma-Thibodaux, LA",834.0
319,27140,"Jackson, MS",708.5
320,27260,"Jacksonville, FL",469.0
321,29420,"Lake Havasu City-Kingman, AZ",1181.5
322,29620,"Lansing-East Lansing, MI",815.5
323,30020,"Lawton, OK",1050.0
324,31900,"Mansfield, OH",1236.5
325,34580,"Mount Vernon-Anacortes, WA",777.0
326,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",489.0
327,36220,"Odessa, TX",619.5
328,37460,"Panama City, FL",384.5
329,37900,"Peoria, IL",1213.0
330,39540,"Racine, WI",1166.5
331,41060,"St. Cloud, MN",536.0
332,43100,"Sheboygan, WI",984.0
333,48540,"Wheeling, WV-OH",848.0
334,48700,"Williamsport, PA",895.0
335,49020,"Winchester, VA-WV",576.5
336,49340,"Worcester, MA-CT",795.0
337,10500,"Albany, GA",1274.0
338,10580,"Albany-Schenectady-Troy, NY",690.0
339,10900,"Allentown-Bethlehem-Easton, PA-NJ",756.5
340,12060,"Atlanta-Sandy Springs-Alpharetta, GA",319.0
341,11500,"Anniston-Oxford, AL",1405.5
342,14100,"Bloomsburg-Berwick, PA",825.5
343,14540,"Bowling Green, KY",331.5
344,16220,"Casper, WY",312.5
345,16620,"Charleston, WV",1281.5
346,16940,"Cheyenne, WY",675.5
347,17820,"Colorado Springs, CO",499.0
348,19060,"Cumberland, MD-WV",1246.0
349,21660,"Eugene-Springfield, OR",689.5
350,24860,"Greenville-Anderson, SC",398.0
351,25420,"Harrisburg-Carlisle, PA",787.0
352,27060,"Ithaca, NY",702.0
353,29940,"Lawrence, KS",766.5
354,34740,"Muskegon, MI",866.5
355,34900,"Napa, CA",443.0
356,36740,"Orlando-Kissimmee-Sanford, FL",245.0
357,40060,"Richmond, VA",569.0
358,42680,"Sebastian-Vero Beach, FL",552.5
359,43620,"Sioux Falls, SD",482.0
360,46520,"Urban Honolulu, HI",731.0
361,46660,"Valdosta, GA",889.0
362,12620,"Bangor, ME",1158.0
363,15540,"Burlington-South Burlington, VT",946.0
364,21140,"Elkhart-Goshen, IN",680.0
365,23420,"Fresno, CA",502.5
366,27860,"Jonesboro, AR",603.0
367,28140,"Kansas City, MO-KS",529.5
368,30620,"Lima, OH",970.5
369,30700,"Lincoln, NE",690.5
370,30860,"Logan, UT-ID",613.5
371,31140,"Louisville/Jefferson County, KY-IN",666.0
372,31460,"Madera, CA",808.5
373,32580,"McAllen-Edinburg-Mission, TX",594.0
374,32900,"Merced, CA",607.5
375,35660,"Niles, MI",980.5
376,37100,"Oxnard-Thousand Oaks-Ventura, CA",973.5
377,38340,"Pittsfield, MA",899.5
378,41620,"Salt Lake City, UT",564.0
379,42700,"Sebring-Avon Park, FL",975.5
380,43900,"Spartanburg, SC",778.0
381,44300,"State College, PA",469.5
382,44700,"Stockton, CA",615.0
